null_family,draw,statistic,value
lag_covariance_surrogate_features,77,lag_family_full_r2,0.10112901087868975
within_source_target_permutation,77,xi_star_r2,0.0033084972154941994
within_source_target_permutation,78,lag_family_full_r2,0.4460720257883881
source_block_target_permutation,78,lag_family_full_r2,0.2986966645220881
lag_covariance_surrogate_features,78,lag_family_full_r2,0.03543208362377637
within_source_target_permutation,78,xi_star_r2,0.0007626716337936212
within_source_target_permutation,79,lag_family_full_r2,0.49600386640451677
source_block_target_permutation,79,lag_family_full_r2,0.29984378410179746
lag_covariance_surrogate_features,79,lag_family_full_r2,0.07692281602994999
within_source_target_permutation,79,xi_star_r2,0.019799378269024337
within_source_target_permutation,80,lag_family_full_r2,0.48292816334311883
source_block_target_permutation,80,lag_family_full_r2,0.5020662082366611
lag_covariance_surrogate_features,80,lag_family_full_r2,0.11462214386398417
within_source_target_permutation,80,xi_star_r2,0.03995495383323544
within_source_target_permutation,81,lag_family_full_r2,0.7075753966705411
source_block_target_permutation,81,lag_family_full_r2,0.6261001041928554
lag_covariance_surrogate_features,81,lag_family_full_r2,0.27841105152445167
within_source_target_permutation,81,xi_star_r2,0.16197788794994172
within_source_target_permutation,82,lag_family_full_r2,0.44394149376031233
source_block_target_permutation,82,lag_family_full_r2,0.5890546971895857
lag_covariance_surrogate_features,82,lag_family_full_r2,0.2836023009784685
within_source_target_permutation,82,xi_star_r2,0.04645120496815214
within_source_target_permutation,83,lag_family_full_r2,0.4157127859893771
source_block_target_permutation,83,lag_family_full_r2,0.6916623416429701
lag_covariance_surrogate_features,83,lag_family_full_r2,0.12572857402673854
within_source_target_permutation,83,xi_star_r2,0.11366306482785082
within_source_target_permutation,84,lag_family_full_r2,0.5303984961121222
source_block_target_permutation,84,lag_family_full_r2,0.542361791159959
lag_covariance_surrogate_features,84,lag_family_full_r2,0.2905659746548024
within_source_target_permutation,84,xi_star_r2,0.010827420489434525
within_source_target_permutation,85,lag_family_full_r2,0.49071516574172824
source_block_target_permutation,85,lag_family_full_r2,0.44902424783772366
lag_covariance_surrogate_features,85,lag_family_full_r2,0.16764463006056585
within_source_target_permutation,85,xi_star_r2,0.02939341804980733
within_source_target_permutation,86,lag_family_full_r2,0.44041423518996514
source_block_target_permutation,86,lag_family_full_r2,0.5318310573066798
lag_covariance_surrogate_features,86,lag_family_full_r2,0.10081011246369198
within_source_target_permutation,86,xi_star_r2,0.02330526788156284
within_source_target_permutation,87,lag_family_full_r2,0.615110404703797
source_block_target_permutation,87,lag_family_full_r2,0.6224323564634855
lag_covariance_surrogate_features,87,lag_family_full_r2,0.1330815014986444
within_source_target_permutation,87,xi_star_r2,0.06373485646203203
within_source_target_permutation,88,lag_family_full_r2,0.40775199102839266
source_block_target_permutation,88,lag_family_full_r2,0.37069591501444865
lag_covariance_surrogate_features,88,lag_family_full_r2,0.07557864258287605
within_source_target_permutation,88,xi_star_r2,0.007474779070852922
within_source_target_permutation,89,lag_family_full_r2,0.5811839889469393
source_block_target_permutation,89,lag_family_full_r2,0.49885966984773833
lag_covariance_surrogate_features,89,lag_family_full_r2,0.14866462010482773
within_source_target_permutation,89,xi_star_r2,0.04039098718267542
within_source_target_permutation,90,lag_family_full_r2,0.5580480760584791
source_block_target_permutation,90,lag_family_full_r2,0.26297540076695103
lag_covariance_surrogate_features,90,lag_family_full_r2,0.05692572469336743
within_source_target_permutation,90,xi_star_r2,0.039527242936835516
within_source_target_permutation,91,lag_family_full_r2,0.38935002558881027
source_block_target_permutation,91,lag_family_full_r2,0.4492249604749674
lag_covariance_surrogate_features,91,lag_family_full_r2,0.13609737418214019
within_source_target_permutation,91,xi_star_r2,0.040048616518472246
within_source_target_permutation,92,lag_family_full_r2,0.6043606133572184
source_block_target_permutation,92,lag_family_full_r2,0.5127713645276549
lag_covariance_surrogate_features,92,lag_family_full_r2,0.054155015586264454
within_source_target_permutation,92,xi_star_r2,0.022506043054720704
within_source_target_permutation,93,lag_family_full_r2,0.5016997667640946
