station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1160882,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,UTHUKELA,KLEINE WATERVAL (27661726),-28.72194444,29.37572222,1869.0,True,False,station_point_only
1160883,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,UTHUKELA,TUGELA FERRY,-28.75002778,30.44222222,12862.0,True,False,station_point_only
1160885,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,LITTLE TUGELA,WINTERTON (27661710),-28.81813889,29.54505556,779.0,True,False,station_point_only
1160892,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,BLOUKRANSRIVIER,FRERE (27661709),-28.89247222,29.77047222,196.0,True,False,station_point_only
1160894,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MLAMBONJA,KLEINERIVIER (27661741),-28.81261111,29.31058333,434.0,True,False,station_point_only
1160900,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,WIT-MFOLOZI,DOORNHOEK (27650209),-27.89766717,30.88366472,440.0,True,False,station_point_only
1160911,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,SWART-MFOLOZI,NATIVE RES. 12 (27650206),-28.06947222,31.54958333,1659.0,True,False,station_point_only
1160915,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,WIT-MFOLOZI,OVERVLOED,-28.33936111,31.37383333,3939.0,True,False,station_point_only
1160940,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,DUIWENHOKSRIVIER,DASSJES KLIP,-34.25166667,20.99194444,790.0,True,False,station_point_only
1160960,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KAFFERKUILSRIVIER,FARM 216 (27694105),-34.0925,21.29416667,229.0,True,False,station_point_only
1160975,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,MHLATUZE,RIVERVIEW (27650309),-28.74817403,31.74563375,2428.0,True,False,station_point_only
1196110,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HARTBEESLOOP,ELANDSPRUIT (27529002),-25.819,29.33775,247.0,True,False,station_point_only
1196130,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,EDENDALSPRUIT,LEEUWFONTEIN (27547029),-25.64711,28.39039,126.0,True,False,station_point_only
1196150,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,NGWABITSI,HARMONY (27521010),-24.035,30.43356,323.0,True,False,station_point_only
1196160,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,KLASERIERIVIER,FLEUR DE LYS (27521004),-24.55622222,31.03225,136.0,True,False,station_point_only
1196170,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,DWARSRIVIER,DWARS RIVER (27525009),-24.91205556,30.10327778,445.0,True,False,station_point_only
1196175,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,STEELPOORTRIVIER,BUFFELSKLOOF,-25.02911111,29.85580556,2249.0,True,False,station_point_only
1196180,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,WATERVALRIVIER,MODDERSPRUIT (27525005),-25.03594444,30.21941667,189.0,True,False,station_point_only
1196205,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,SHINGWIDZI,SILWERVIS KRUGER NATIONAL PARK,-23.216284,31.22354527,810.0,True,False,station_point_only
1196210,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,SHISHA,VLAKTEPLAAS/KRUGER NAT. PARK (27522001),-22.83854188,31.23709344,696.0,True,False,station_point_only
1196215,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,GROOT-LETABA,LETABA RANCH,-23.65837248,31.04990442,4710.0,True,False,station_point_only
1196300,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MATLABASRIVIER,HAARLEM EAST (27546004),-24.16053356,27.47969463,1054.0,True,False,station_point_only
1196350,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MAGALIESRIVIER,SCHEERPOORT,-25.77703,27.76117,1171.0,True,False,station_point_only
